codprod;descricaoproduto;embalagem;unidade;codepto;deptodescricao;codsec;secdescricao;codncmex;nbm;informacoestecnicas;codmarca;marca;codmarcatabelamarcas;marcatabelamarcas
1;FARINHA TRIGO D.BENTA  C/FERMENTO 10X1KG;10X1KG-PLAST;FD;2;ALIMENTOS;268;FARINHA/FARINACEOS;11010010.10;11010010;10X1KG)PLAST;141;DONA BENTA;141;DONA BENTA
17;AMAC.ROUPA GIRANDO SOL 2L AMARELO;2L;UN;5;LIMPEZA;504;AMACIANTE ROUPA;38099190.;38099190;2L;177;GIRANDO SOL;177;GIRANDO SOL
24;OLEO SOJA COCAMAR 20X900ML;20X900ML;CX;2;ALIMENTOS;10010;OLEOS;15079011.7;15079011;;101;COCAMAR;101;COCAMAR
30;DESINF.GIRANDO SOL 2L EUCALIPTO;2L;UN;5;LIMPEZA;526;DESINFETANTE;38089419.;38089419;2L;177;GIRANDO SOL;177;GIRANDO SOL
32;FECULA MANDIOCA  500G NEVE (ARARUTINHA) ;500G;UN;2;ALIMENTOS;258;AMIDO/FECULA/POLVILHO;11081900.;11081900;500G;294;NEVE;294;NEVE
35;DETERG. LIQ.LIMPOL 5L NEUTRO;5L;UN;5;LIMPEZA;514;DETERGENTE LIQUIDO;34025000.;34025000;;702;LIMPOL;702;LIMPOL
52;SACO LIXO  50L NAVEPLAST REFOR.63X80X6MI;C/100;FD;6;EMBALAGENS/DESCARTAVEIS;648;SACO LIXO;39232990.7;39232990;C/100;284;NAVEPLAST;284;NAVEPLAST
60;PIRUL.C/CHICLE FREEG.TUTTI FRUTTI  POP ;500G;UN;3;BOMBONIERI;304;PIRULITO;17049090.;17049090;50X12G;;;;
80;VINAGRE BALSAMICO ANDALUZIA 5,01L;5,01L;UN;2;ALIMENTOS;252;VINAGRE/ACETO;22090000.;22090000;5,01L;15;ANDALUZIA;15;ANDALUZIA
108;OVOMALTINE FLOCOS CROCANTE 5MM;750G;UN;2;ALIMENTOS;232;MATINAL;19019090.;19019090;750G - GRANULACAO DO FLOCOS 5MM;316;OVOMALTINI;316;OVOMALTINE
128;MOLHO ESCURO DEMI GLACE NUTRIMENTAL 500G;500G;UN;2;ALIMENTOS;206;MOLHO;21039091.;21039091;DILUIÇAO: AGUA - RENDE 5 LITROS;307;NUTRIMENTAL;307;NUTRIMENTAL
135;FARINHA TRIGO D.BENTA 5X5KG TIP1 PLAST;5X5KG;FD;2;ALIMENTOS;268;FARINHA/FARINACEOS;11010010.;11010010;5X5KG;141;DONA BENTA;141;DONA BENTA
140;FARINHA TRIGO D.BENTA 10X1KG TIP1 PLAST;10X1KG;FD;2;ALIMENTOS;268;FARINHA/FARINACEOS;11010010.;11010010;10X1KG;141;DONA BENTA;141;DONA BENTA
188;BOLO D.BENTA LARANJA 450G;450G;UN;2;ALIMENTOS;228;MISTURA/MISTURA BOLO;19012090.;19012090;450G;141;DONA BENTA;141;DONA BENTA
190;BOLO D.BENTA COCO 450G;450G;UN;2;ALIMENTOS;228;MISTURA/MISTURA BOLO;19012090.;19012090;450G;141;DONA BENTA;141;DONA BENTA
191;BOLO D.BENTA FESTA 450G;450G;UN;2;ALIMENTOS;228;MISTURA/MISTURA BOLO;19012090.;19012090;450G;141;DONA BENTA;141;DONA BENTA
194;MOLHO SALADA LIZA LIMAO 234ML;234ML;UN;2;ALIMENTOS;206;MOLHO;21039091.;21039091;234ML;;;;
197;BOLO D.BENTA BAUNILHA 450G;450G;UN;2;ALIMENTOS;228;MISTURA/MISTURA BOLO;19012090.;19012090;450G;141;DONA BENTA;141;DONA BENTA
198;BOLO D.BENTA MILHO VERDE 450G;450G;UN;2;ALIMENTOS;228;MISTURA/MISTURA BOLO;19012090.;19012090;450G;141;DONA BENTA;141;DONA BENTA
209;COND. COENTRO GRAO JANDIRA 250G;250G;UN;2;ALIMENTOS;214;TEMPERO/CONDIMENTO;09092100.;9092100;250G;208;JANDIRA;208;JANDIRA
211;EXTRATO TOMATE 4KG BONARE LATA ;4KG;UN;2;ALIMENTOS;212;ATOMATADO/CATCHUP;20029000.;20029000;;52;BONARE;52;BONARE
223;COND. COMINHO PO PURO JANDIRA 1KG;1KG;UN;2;ALIMENTOS;214;TEMPERO/CONDIMENTO;09093200.4;9093200;1KG;208;JANDIRA;208;JANDIRA
224;COND. ALECRIM JANDIRA 250G      ;250G;UN;2;ALIMENTOS;214;TEMPERO/CONDIMENTO;12119090.4;12119090;250G;208;JANDIRA;208;JANDIRA
226;COND. PIMENTA GRAO JANDIRA 1KG;1KG;UN;2;ALIMENTOS;214;TEMPERO/CONDIMENTO;09041100.;9041100;1KG;208;JANDIRA;208;JANDIRA
227;COND. NOZ MOSCADA FECULADA JANDIRA 250G;250G;UN;2;ALIMENTOS;214;TEMPERO/CONDIMENTO;09081200.4;9081200;250G;208;JANDIRA;208;JANDIRA
228;COND. CURRY JANDIRA 250G     ;250G;UN;2;ALIMENTOS;214;TEMPERO/CONDIMENTO;09109900.5;9109900;250G;208;JANDIRA;208;JANDIRA
229;COND. MANJERICAO JANDIRA 250G;250G;UN;2;ALIMENTOS;214;TEMPERO/CONDIMENTO;12119090.4;12119090;250G;208;JANDIRA;208;JANDIRA
230;COND. SALSA DESIDRATADA JANDIRA 250G   ;250G;UN;2;ALIMENTOS;214;TEMPERO/CONDIMENTO;07129090.;7129090;250G;208;JANDIRA;208;JANDIRA
237;COND. MANJERONA JANDIRA 250G;250G;UN;2;ALIMENTOS;214;TEMPERO/CONDIMENTO;07129090.4;7129090;250G;208;JANDIRA;208;JANDIRA
259;PALMITO PICADO PALM.REAL 1,8KG RIO CERRO;1.8KG;UN;2;ALIMENTOS;204;CONSERVA SALGADA/ENLATADOS;20089100.;20089100;1.8KG;;;;
268;CEREJA MARASQUINO SAINTPAUL S/TALO 2,2KG;2,2KG LATA;UN;2;ALIMENTOS;202;CONSERVA DOCE/ENLATADOS;20086010.4;20086010;2,2KG LATA;370;SAINT PAUL;370;SAINT PAUL
289;AGUA SANITARIA 5L QBOA ;3X5L;CX;5;LIMPEZA;502;AGUA SANITARIA/ALVEJANTE;28289011.;28289011;3X5L;347;QBOA;347;QBOA
314;ISQUEIRO BIC MINI COLOR C/12;12UN;CT;7;UTILIDADES;716;ISQUEIRO;96131000.;96131000;12UN;37;BIC;37;BIC
315;ISQUEIRO BIC MAXI COLOR C/12;12UN;CT;7;UTILIDADES;716;ISQUEIRO;96131000.;96131000;12UN;37;BIC;37;BIC
316;BOLO D.BENTA FUBA 450G;450G;UN;2;ALIMENTOS;228;MISTURA/MISTURA BOLO;19012090.;19012090;450G;141;DONA BENTA;141;DONA BENTA
318;COND. CHEIRO VERDE DESIDRATADA JANDIRA;250G;UN;2;ALIMENTOS;214;TEMPERO/CONDIMENTO;07129090.;7129090;250G;208;JANDIRA;208;JANDIRA
339;FEIJAO CARIOCA CALDAO TIPO-1 10X1KG ;10X1KG;FD;2;ALIMENTOS;240;CEREAL;07133399.;7133399;10X1KG;72;CALDAO;72;CALDAO
367;FEIJAO PRETO CALDAO TIPO-1 10X1KG;10X1KG;FD;2;ALIMENTOS;240;CEREAL;07133319.;7133319;10X1KG;72;CALDAO;72;CALDAO
368;FEIJAO VERMELHO CALDAO TIPO-1 10X1KG;10X1KG;FD;2;ALIMENTOS;240;CEREAL;07133399.;7133399;10X1KG;72;CALDAO;72;CALDAO
394;BOLO D.BENTA CENOURA 450G;450G;UN;2;ALIMENTOS;228;MISTURA/MISTURA BOLO;19012090.;19012090;450G;141;DONA BENTA;141;DONA BENTA
397;COND. COLORIFICO SINHA (COLORAU)  100G;30X100G;FD;2;ALIMENTOS;214;TEMPERO/CONDIMENTO;21039021.;21039021;30X100G;;;;
420;ACUCAR REFINADO UNIAO 5X5KG;5X5KG;FD;2;ALIMENTOS;254;ACUCAR;17019900.;17019900;5X5KG;450;UNIAO;450;UNIAO
421;ACUCAR REFINADO UNIAO 10X1KG;10X1KG;FD;2;ALIMENTOS;254;ACUCAR;17019900.;17019900;10X1KG;450;UNIAO;450;UNIAO
434;VINAGRE BALSAMICO ANDALUZIA 500ML;500ML;UN;2;ALIMENTOS;252;VINAGRE/ACETO;22090000.;22090000;500ML;15;ANDALUZIA;15;ANDALUZIA
445;GELEIA AMORA SAINT PAUL 230G VIDRO;230G;UN;2;ALIMENTOS;202;CONSERVA DOCE/ENLATADOS;20079910.;20079910;230G;370;SAINT PAUL;370;SAINT PAUL
446;GELEIA MORANGO SAINT PAUL 230G VIDRO;230G;UN;2;ALIMENTOS;202;CONSERVA DOCE/ENLATADOS;20079910.;20079910;230G;370;SAINT PAUL;370;SAINT PAUL
447;GELEIA ABACAXI SAINT PAUL 230G VIDRO;230G;UN;2;ALIMENTOS;202;CONSERVA DOCE/ENLATADOS;20079910.;20079910;230G;370;SAINT PAUL;370;SAINT PAUL
448;GELEIA UVA SAINT PAUL 230G VIDRO;230G;UN;2;ALIMENTOS;202;CONSERVA DOCE/ENLATADOS;20079910.;20079910;230G;370;SAINT PAUL;370;SAINT PAUL
449;GELEIA PESSEGO SAINT PAUL 230G VIDRO;230G;UN;2;ALIMENTOS;202;CONSERVA DOCE/ENLATADOS;20079910.;20079910;230G;370;SAINT PAUL;370;SAINT PAUL
463;GERGELIM BRANCO S/CASCA ATACAMA 500G;500G;UN;2;ALIMENTOS;240;CEREAL;12074090.9;12074090;500G - DESCASCADO;24;ATACAMA;24;ATACAMA
467;AMEIXA EM CALDA ANDALUZIA LATA 400G ;400G;UN;2;ALIMENTOS;202;CONSERVA DOCE/ENLATADOS;20089900.4;20089900;400G;15;ANDALUZIA;15;ANDALUZIA
473;COGUMELO FAT.TP-1 1,01KG ALDEIA SERRA BD;1,1KG;UN;2;ALIMENTOS;204;CONSERVA SALGADA/ENLATADOS;07115900.;7115900;;5;ALDEIA DA SERRA;5;ALDEIA DA SERRA
489;FARINHA MILHO BIJU FLOCADA JARAGUA AMAR.;1KG;UN;2;ALIMENTOS;268;FARINHA/FARINACEOS;11022000.;11022000;1KG;209;JARAGUA;209;JARAGUA
512;GOIABADA 300G PREDILECTA F.PACK;300G;UN;2;ALIMENTOS;202;CONSERVA DOCE/ENLATADOS;20079990.12;20079990;;336;PREDILECTA;336;PREDILECTA
514;ALHO FLOCOS DESID.JANDIRA 500G    ;500G;UN;2;ALIMENTOS;214;TEMPERO/CONDIMENTO;07129090.4;7129090;500G;208;JANDIRA;208;JANDIRA
516;COND. PAPRICA DOCE JANDIRA 250G;250G;UN;2;ALIMENTOS;214;TEMPERO/CONDIMENTO;09042200.1;9042200;250G;208;JANDIRA;208;JANDIRA
529;AZEITE COMPOSTO 500ML MARIA LATA;500ML;UN;2;ALIMENTOS;216;AZEITE;15179010.;15179010;;;;;
542;MOLHO TOMATE 3,1KG PREDILECTA PIZZA BAG ;3,1KG;UN;2;ALIMENTOS;212;ATOMATADO/CATCHUP;21032090.;21032090;;336;PREDILECTA;336;PREDILECTA
552;AZEITE 5,01L COMPOSTO CASA PORT.PET;5,01L;UN;2;ALIMENTOS;216;AZEITE;15079019.;15079019;90% OLEO DE SOJA 10% AZEITE DE OLIVA EXTRA VIRGEM;83;CASA PORTUGUESA;83;CASA PORTUGUESA
553;DESINF.GIRANDO SOL 2L TALCO;2L;UN;5;LIMPEZA;526;DESINFETANTE;38089419.1;38089419;2L;177;GIRANDO SOL;177;GIRANDO SOL
557;M. LASANHA DONA BENTA C/OVOS 500G;500G;UN;2;ALIMENTOS;224;MASSA;19021100.12;19021100;500G;141;DONA BENTA;141;DONA BENTA
559;MAC.G.DURO PETYBON TRICOLORE FUSILLI;500G;UN;2;ALIMENTOS;224;MASSA;19021900.12;19021900;500G;324;PETYBON;324;PETYBON
561;GUARDAN.14X14CM ESTOJO ROSA CAIXA;C/5000;CX;6;EMBALAGENS/DESCARTAVEIS;640;GUARDANAPO;48183000.;48183000;;366;ROSA;366;ROSA
564;FILME PVC 28CM X 300M 9MICR BRASPRATICK ;1;UN;6;EMBALAGENS/DESCARTAVEIS;620;FILME PVC;39204390.;39204390;;;;;
569;OLEO  CANOLA LIZA 900ML;900ML;UN;2;ALIMENTOS;220;GORDURA/OLEO ESPECIAIS;15141910.;15141910;;630;LIZA;630;LIZA
572;OLEO  GIRASSOL LIZA 900ML;900ML;UN;2;ALIMENTOS;220;GORDURA/OLEO ESPECIAIS;15121911.;15121911;;630;LIZA;630;LIZA
573;OLEO  MILHO LIZA 900ML;900ML;UN;2;ALIMENTOS;220;GORDURA/OLEO ESPECIAIS;15152910.1;15152910;;630;LIZA;630;LIZA
578;PALITO DENTAL MAD.GINA 25X100UN ;25X100UN;FD;6;EMBALAGENS/DESCARTAVEIS;642;PALITO/ESPETINHO;44219900.;44219900;CAIXINHA PAPEL;176;GINA;176;GINA
591;AZEITE COMPOSTO 200ML MARIA LATA;200ML;UN;2;ALIMENTOS;216;AZEITE;15179010.;15179010;;;;;
609;COPO PL. 80ML BCO COPOBRAS CF080;C/100;TR;6;EMBALAGENS/DESCARTAVEIS;602;DESCARTAVEL;39241000.;39241000;PS;110;COPOBRAS;110;COPOBRAS
610;COPO PL.110ML BCO COPOBRAS CF110;C/100;TR;6;EMBALAGENS/DESCARTAVEIS;602;DESCARTAVEL;39241000.;39241000;PS;110;COPOBRAS;110;COPOBRAS
617;LIMPA BRILHA ALUM/INOX BRILHOLAC 500ML;500ML;UN;5;LIMPEZA;512;LIMPADOR;34025000.;34025000;500ML;61;BRILHOLAC;61;BRILHOLAC
622;COPO PL.180ML BCO COPOBRAS CF180 ;C/100;TR;6;EMBALAGENS/DESCARTAVEIS;602;DESCARTAVEL;39241000.;39241000;PP;110;COPOBRAS;110;COPOBRAS
624;FOSFORO FIAT LUX PINHEIRO 20X10;20X10;PT;7;UTILIDADES;714;FOSFORO;36050000.;36050000;;161;FIAT LUX;161;FIAT LUX
625;COPO PL.200ML BCO COPOBRAS CF200 ;C/100;TR;6;EMBALAGENS/DESCARTAVEIS;602;DESCARTAVEL;39241000.;39241000;PP;110;COPOBRAS;110;COPOBRAS
626;HAMBURG.ISOP.101 COPOBRAS CH101 ;C/200;FD;6;EMBALAGENS/DESCARTAVEIS;614;LANCHEIRA ISOPOR;39231090.;39231090;COMP 23,5 LARG 16 ALT 7,5CM - CAP.700G;110;COPOBRAS;110;COPOBRAS
627;COPO PL.300ML BCO COPOBRAS CF300 ;C/100;TR;6;EMBALAGENS/DESCARTAVEIS;602;DESCARTAVEL;39241000.;39241000;PP;110;COPOBRAS;110;COPOBRAS
631;COPO PL.400ML TRAN.COPOBRAS CFT400;C/50;TR;6;EMBALAGENS/DESCARTAVEIS;602;DESCARTAVEL;39241000.;39241000;TAMPA COMPATIVEL TPT550 E C/FURO - TPB550 C/ E S/FURO;110;COPOBRAS;110;COPOBRAS
633;COPO PL.500ML TRAN.COPOBRAS CFT500;C/50;TR;6;EMBALAGENS/DESCARTAVEIS;602;DESCARTAVEL;39241000.;39241000;TAMPA COMPATIVEL TPT550 E C/FURO - TPB550 C/E S/ FURO;110;COPOBRAS;110;COPOBRAS
641;GARFO PL.STRAW.FORTE BRANCO 506;C/50;PT;6;EMBALAGENS/DESCARTAVEIS;606;TALHER PLASTICO;39241000.;39241000;C/50-GSB506;408;STRAWPLAST;408;STRAWPLAST
646;COLHER PL.STRAW.SOBR.BRANCA 620;C/50;PT;6;EMBALAGENS/DESCARTAVEIS;606;TALHER PLASTICO;39241000.;39241000;C/50-CSB620;408;STRAWPLAST;408;STRAWPLAST
648;SACO PLAST.CACHORRO QUENT C/1000 12X26CM;1000UN);FD;6;EMBALAGENS/DESCARTAVEIS;626;SACO PLASTICO;48045990.;48045990;1000UN);;;;
655;MAC.SEMOLA D.BENTA ESPAGUETE 12X1KG;12X1KG;FD;2;ALIMENTOS;224;MASSA;19021900.9;19021900;12X1KG;141;DONA BENTA;141;DONA BENTA
671;PRATO ISOP.DECORADO 34CM MEIWA MP34;C/100;FD;6;EMBALAGENS/DESCARTAVEIS;604;PRATO DESCARTAVEL;39239090.;39239090;DIAM 34 ALT 2,6CM;671;MEIWA;671;MEIWA
677;MOLHO BRANCO BECHAMEL NUTRIMENTAL 500G;500G;UN;2;ALIMENTOS;206;MOLHO;21039091.;21039091;DILUIÇAO: LEITE - RENDE 5 LITROS;307;NUTRIMENTAL;307;NUTRIMENTAL
696;GORD.MAZOLACHEF 14,5G BD;14,5KG;BD;2;ALIMENTOS;220;GORDURA/OLEO ESPECIAIS;15162000.;15162000;;632;MAZOLA;632;MAZOLA
705;DESINF.GIRANDO SOL 5L EUCALIPTO;5L;UN;5;LIMPEZA;526;DESINFETANTE;38089419.;38089419;5L;177;GIRANDO SOL;177;GIRANDO SOL
707;AGUA SANITARIA 5L GIRANDO SOL VERDE ;5L;UN;5;LIMPEZA;502;AGUA SANITARIA/ALVEJANTE;28289011.;28289011;5L;177;GIRANDO SOL;177;GIRANDO SOL
729;MOLHO SALADA LIZA CASEIRO 234ML;234ML;UN;2;ALIMENTOS;206;MOLHO;21039091.;21039091;234ML;;;;
730;MOLHO SALADA LIZA ROSE 234ML;234ML;UN;2;ALIMENTOS;206;MOLHO;21039091.;21039091;234ML;;;;
731;MOLHO SALADA LIZA QUEIJOS 234ML;234ML;UN;2;ALIMENTOS;206;MOLHO;21039091.;21039091;234ML;;;;
738;POLVILHO DOCE  500G NEVE ;500G;UN;2;ALIMENTOS;258;AMIDO/FECULA/POLVILHO;11081900.;11081900;;294;NEVE;294;NEVE
779;FARINHA TRIGO  PIZZA SUPREMA 5X5KG;5X5KG;FD;2;ALIMENTOS;268;FARINHA/FARINACEOS;11010010.;11010010;;416;SUPREMA;416;SUPREMA
785;CHOCO BALL POWER AO LEITE/BCO MINI 500G;500G;UN;2;ALIMENTOS;236;CHOCOLATE/COBERTURA;19041000.;19041000;500G - MINI;93;CHOCO POWER BALL;93;CHOCO POWER BALL
788;POLVILHO AZEDO  500G PRATA ;500G;UN;2;ALIMENTOS;258;AMIDO/FECULA/POLVILHO;11081400.;11081400;;334;PRATA;334;PRATA
789;SAGU PRATA 500G;500G;UN;2;ALIMENTOS;240;CEREAL;11062000.10;11062000;;334;PRATA;334;PRATA
801;EXTRATO TOMATE 4,1KG PREDILECTA BAG ;4,1KG;UN;2;ALIMENTOS;212;ATOMATADO/CATCHUP;20029000.;20029000;;336;PREDILECTA;336;PREDILECTA
803;GOIABADA CREMOSA PREDILECTA BAG 2,5KG ;2,5KG;UN;2;ALIMENTOS;282;RECHEIO;20079990.;20079990;;336;PREDILECTA;336;PREDILECTA
805;MOLHO TOMATE 4,1KG PREDILECTA REFOG.BAG ;4,1KG;UN;2;ALIMENTOS;212;ATOMATADO/CATCHUP;21032090.;21032090;;336;PREDILECTA;336;PREDILECTA
812;ALCOOL 92,8º ARAUCARIA 12X500ML;12X500ML;CX;5;LIMPEZA;530;ALCOOL;22071090.2;22071090;12X500ML;20;ARAUCARIA;20;ARAUCARIA
820;HAMBURG.ISOP.03 COPOBRAS CH03 ;C/400;FD;6;EMBALAGENS/DESCARTAVEIS;614;LANCHEIRA ISOPOR;39239090.;39239090;COMP 16,2 LARG 16,2 ALT 8,6CM - CAP.500G;110;COPOBRAS;110;COPOBRAS
825;BAND.ISOP.01 COPOBRAS RASA CRL01   ;C/400;FD;6;EMBALAGENS/DESCARTAVEIS;616;BANDEJA DESCARTAVEL;39231090.;39231090;ALT 1,8 LARG 15 COMP 15CM ;110;COPOBRAS;110;COPOBRAS
826;BAND.ISOP.02 COPOBRAS RASA CRL02 ;C/400;FD;6;EMBALAGENS/DESCARTAVEIS;616;BANDEJA DESCARTAVEL;39231090.;39231090;ALT 1,8 LARG 14 COMP 21CM;110;COPOBRAS;110;COPOBRAS
827;BAND.ISOP.03 COPOBRAS RASA CRL03 ;C/400;FD;6;EMBALAGENS/DESCARTAVEIS;616;BANDEJA DESCARTAVEL;39231090.;39231090;ALT 1,6 LARG 18 COMP 23,5CM;110;COPOBRAS;110;COPOBRAS
829;BAND.ISOP.04 COPOBRAS RASA CRL04 ;C/400;FD;6;EMBALAGENS/DESCARTAVEIS;616;BANDEJA DESCARTAVEL;39231090.;39231090;ALT 1,4 LARG 15 COMP 27,5CM;110;COPOBRAS;110;COPOBRAS
835;ARROZ PARB.BURITI 6X5KG;6X5KG;FD;2;ALIMENTOS;260;ARROZ;10063011.;10063011;6X5KG;67;BURITI;67;BURITI
836;ARROZ BRANCO BURITI 6X5KG;6X5KG;FD;2;ALIMENTOS;260;ARROZ;10063021.1;10063021;6X5KG;67;BURITI;67;BURITI
837;ARROZ PARB.URBANO 6X5KG;6X5KG;FD;2;ALIMENTOS;260;ARROZ;10063011.;10063011;6X5KG;452;URBANO;452;URBANO
838;ARROZ BRANCO TIO URBANO 6X5KG;6X5KG;FD;2;ALIMENTOS;260;ARROZ;10063021.1;10063021;6X5KG;437;TIO URBANO;437;TIO URBANO
847;CALDO GALINHA NUTRIMENTAL 1,02KG ;1,02KG;UN;2;ALIMENTOS;218;CALDO/AMACIANTE;21041019.;21041019;DILUIÇAO: AGUA - RENDE 51 LITROS;;;;
852;MOLHO AGRIDOCE MITSUWA 250ML;250ML;UN;2;ALIMENTOS;206;MOLHO;21039091.;21039091;;;;;
862;COLHER PL.STRAW.SOBR.BRANCA GRANEL 610;C/1000;CX;6;EMBALAGENS/DESCARTAVEIS;606;TALHER PLASTICO;39241000.;39241000;C/1000-CSB61;408;STRAWPLAST;408;STRAWPLAST
870;FERMENTO QUIMICO ARCOLOR 1KG;1KG;UN;2;ALIMENTOS;270;FERMENTO;21023000.;21023000;1KG;21;ARCOLOR;21;ARCOLOR
871;CHOCO.GRANUL.CROCANTE MAVALERIO 1,01KG ;1,01KG;UN;2;ALIMENTOS;236;CHOCOLATE/COBERTURA;18069000.;18069000;1,01KG;262;MAVALERIO;262;MAVALERIO
874;FARINHA TRIGO  PASTEL SUPREMA 5X5KG;5X5KG;FD;2;ALIMENTOS;268;FARINHA/FARINACEOS;11010010.;11010010;5X5KG;416;SUPREMA;416;SUPREMA
876;SACOLA PL.48X58 LIBREPLAST GOLD 2,2MI;C/1000;CX;6;EMBALAGENS/DESCARTAVEIS;626;SACO PLASTICO;39232190.;39232190;BIODEGRADAVEL;;;;
877;PANO CHAO ALVEJADO FINO 40X65CM C/10;C/10UN;FD;5;LIMPEZA;532;PANO CHAO/PRATO;63071000.;63071000;C/10UN;260;MARTINS;260;MARTINS
878;PANO FLANELA LARANJA 28X38CM C/12UN;C/12UN;PT;5;LIMPEZA;532;PANO CHAO/PRATO;63071000.;63071000;12UN;260;MARTINS;260;MARTINS
885;CANUDO STRAW.PL.SACHE PRETO DOBR.6MM 21C;C/100-CS313;PT;6;EMBALAGENS/DESCARTAVEIS;610;CANUDO;39173229.;39173229;C/100 - 6MM;408;STRAWPLAST;408;STRAWPLAST
887;CANUDO STRAW.PL.SACHE NEON DOBR.6MM 21C;C/100-CS312;PT;6;EMBALAGENS/DESCARTAVEIS;610;CANUDO;39173229.;39173229;C/100 - 6MM;408;STRAWPLAST;408;STRAWPLAST
889;VODKA SMIRNOFF  600ML;600ML;UN;1;BEBIDAS;10;VODKA NACIONAL;22086000.;22086000;600ML;396;SMIRNOFF;396;SMIRNOFF
891;ALHO TRIT.1KG ALDEIA DA SERRA SACHE ;1KG ;UN;2;ALIMENTOS;214;TEMPERO/CONDIMENTO;07129090.4;7129090;;5;ALDEIA DA SERRA;5;ALDEIA DA SERRA
905;ADOCANTE UNIAO LIGHT/FIT 500G;500G;UN;2;ALIMENTOS;256;ADOCANTE;21069090.;21069090;500G;450;UNIAO;450;UNIAO
906;ACUCAR ORGANICO CRISTAL UNIAO 1KG;1KG;UN;2;ALIMENTOS;254;ACUCAR;17019900.;17019900;1KG;450;UNIAO;450;UNIAO
907;ACUCAR DEMERARA UNIAO UMIDO CARAMELO 1KG;1KG;UN;2;ALIMENTOS;254;ACUCAR;17011400.;17011400;1KG;450;UNIAO;450;UNIAO
909;ADOCANTE SACHE UNIAO DIET SUCRALOSE;400X0,6G;CX;2;ALIMENTOS;256;ADOCANTE;21069090.;21069090;;450;UNIAO;450;UNIAO
910;ACUCAR  UNIAO DOCUCAR REFINADO GROSSO ;1KG;UN;2;ALIMENTOS;254;ACUCAR;17019900.;17019900;1KG;450;UNIAO;450;UNIAO
934;AMENDOIM TORRADO GRANULADO ANDREIA;1,001KG;UN;2;ALIMENTOS;240;CEREAL;20081100.;20081100;;;;;
937;TOUCA TNT SANFONADA TALGE C/100;C/100;PT;6;EMBALAGENS/DESCARTAVEIS;638;TOUCA DESCARTAVEL;65069900.;65069900;C/100 - 19 POLEGADAS ;421;TALGE;421;TALGE
940;AGUA SANITARIA 6X2L QBOA;6X2L;CX;5;LIMPEZA;502;AGUA SANITARIA/ALVEJANTE;28289011.;28289011;6X2L;347;QBOA;347;QBOA
941;AGUA SANITARIA 2L GIRANDO SOL VERDE ;6X2L;CX;5;LIMPEZA;502;AGUA SANITARIA/ALVEJANTE;28289011.;28289011;6X2L;177;GIRANDO SOL;177;GIRANDO SOL
951;TOALHA PAPEL BOB 12X2X200 TOALHAS;12X2 ROLOS;FD;6;EMBALAGENS/DESCARTAVEIS;650;TOALHA PAPEL;48189090.;48189090;2 ROLOS COM 100 FOLHAS EM CADA;47;BOB;47;BOB
952;TOALHA PAPEL CLARYS 12X2X50 TOALHAS;12X2 ROLOS;FD;6;EMBALAGENS/DESCARTAVEIS;650;TOALHA PAPEL;48189090.;48189090;2 ROLOS COM 50 FOLHAS EM CADA;98;CLARYS;98;CLARYS
956;CREME DE LEITE 300G NESTLE LATA 20% ;300G ;UN;2;ALIMENTOS;234;CREMES/SOBREMESA/LEITE COND;04015029.;4015029;;290;NESTLE;290;NESTLE
965;PALMITO  INTEIRO PUPUNHA 300G MOSER;300G;UN;2;ALIMENTOS;204;CONSERVA SALGADA/ENLATADOS;20089100.7;20089100;300G;278;MOSER;278;MOSER
971;WHISKY WILLIAM LAWSONS 1L;1L;UN;1;BEBIDAS;4;WHISKY IMPORTADO;22083020.10;22083020;1L;463;WILLIAM LAWSONS;463;WILLIAM LAWSONS
980;ESPUM.SAINT GERMAIN BRUT BRANCA 660ML ;660ML;UN;1;BEBIDAS;40;ESPUMANTE;22041010.11;22041010;660ML;369;SAINT GERMAIN;369;SAINT GERMAIN
981;ESPUM.SAINT GERMAIN DEMI-SEC BRANCA 660M;660ML;UN;1;BEBIDAS;40;ESPUMANTE;22041010.11;22041010;660ML;369;SAINT GERMAIN;369;SAINT GERMAIN
993;CANUDO STRAW.PL.SACHE MEXEDOR BCO 6MM 17;C/100;PT;6;EMBALAGENS/DESCARTAVEIS;610;CANUDO;39173229.;39173229;C/100 - 6MM;408;STRAWPLAST;408;STRAWPLAST
997;COPO STRAW.LONG DRINK CRISTAL 340ML ;C/10-CPS0340;PT;6;EMBALAGENS/DESCARTAVEIS;602;DESCARTAVEL;39241000.1;39241000;C/10-CPS0340;408;STRAWPLAST;408;STRAWPLAST
998;MEXEDOR STRAW.GRANDE 11CM CRISTAL;C/240-801;PT;6;EMBALAGENS/DESCARTAVEIS;606;TALHER PLASTICO;39241000.;39241000;C/240-MSG801;408;STRAWPLAST;408;STRAWPLAST
1005;PALMITO  PICADO PUPUNHA 300G MOSER ;300G;UN;2;ALIMENTOS;204;CONSERVA SALGADA/ENLATADOS;20089100.7;20089100;300G;278;MOSER;278;MOSER
1008;EMB.CRISTAL BIP08 RET.PEQU.BAIXA;C/100;CX;6;EMBALAGENS/DESCARTAVEIS;608;EMBALAGEM CRISTAL;39231090.;39231090;COMP 19 LARG 12 ALT 4,9CM;40;BIPACK;40;BIPACK
